,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year
37,1.1,152123.92,1278.33,55802.4,53.93,94989.26,94766.21,113.33,109.72,conventional,2016
38,1.04,154802,1164.29,72025.38,18.55,81593.78,81542.67,51.11,0,conventional,2016
39,1.13,149462.64,1511.79,64644.2,44.46,83262.19,83262.19,0,0,conventional,2016
40,1.14,140364.11,1110.75,62343.76,54.56,76855.04,76855.04,0,0,conventional,2016
41,1.11,163501.31,1393.58,77324.69,25.28,84757.76,84757.76,0,0,conventional,2016
42,1.36,141228.53,1473.3,60516.83,32.49,79205.91,79197.02,8.89,0,conventional,2016
43,1.22,154057.74,1658.99,78720.64,36.18,73641.93,72861.93,780,0,conventional,2016
44,1.31,126537.43,1500.02,52665.54,31.37,72340.5,69018.28,3322.22,0,conventional,2016
45,1.29,137984.28,1921.88,60453.06,40.49,75568.85,73328.85,2240,0,conventional,2016
46,1.3,177910.41,2262.36,76308.98,123.88,99215.19,97444.08,1771.11,0,conventional,2016
47,1.21,164453.65,2015.15,81676.45,88.82,80673.23,79715.45,957.78,0,conventional,2016
48,1.31,147469.99,467.72,54309.11,131.18,92561.98,92435.31,126.67,0,conventional,2016
49,1.38,132286.31,1778.63,49448.64,120.55,80938.49,80938.49,0,0,conventional,2016
50,1.35,134522.52,1619,52034.4,110.07,80759.05,80759.05,0,0,conventional,2016
51,1.39,130620.57,1486.6,57210.68,98.93,71824.36,71824.36,0,0,conventional,2016
0,0.94,5414937.46,1579234.89,2192460.84,99997.75,1543243.98,1405419.8,99069.58,38754.6,conventional,2016
1,0.95,4922621.54,1575318.71,1774200.38,90983.73,1482118.72,1313839.11,135367.97,32911.64,conventional,2016
2,0.9,5526646.12,1638639.18,2137290.51,96836.26,1653880.17,1451475.99,177399.8,25004.38,conventional,2016
3,0.98,5062952.53,1916640.11,1449671.84,86152.75,1610487.83,1553052.29,27829.79,29605.75,conventional,2016
4,1.21,4185900.67,1508446.52,1313000.92,81897.44,1282555.79,1202939.23,49696.87,29919.69,conventional,2016
5,1.32,4253815.59,1513797.4,1394929.07,93901.07,1251188.05,1161049.94,61429.08,28709.03,conventional,2016
6,1.48,3848128.2,1326907.02,1367684.96,112541.9,1040994.32,952497.35,60542.13,27954.84,conventional,2016
7,1.68,3395058.42,1111431.87,1333386.69,120964.4,829275.46,763934.88,35997.83,29342.75,conventional,2016
8,1.68,3139833.5,1126017.42,1186843.99,92064.47,734907.62,686375.28,25241.6,23290.74,conventional,2016
9,1.39,3899040.66,1397559.4,1129206.16,82276.22,1289998.88,1201528.54,55799.76,32670.58,conventional,2016
10,1.4,4878037.64,1635631.14,1600568.32,108458.09,1533380.09,1423671.38,73117.52,36591.19,conventional,2016
11,1.34,5375978.5,2021375.04,1750074.56,123430.31,1481098.59,1379624.2,74894.96,26579.43,conventional,2016
12,1.19,5652496.31,2359102.44,1664176.22,121961.08,1507256.57,1420423.91,58294.32,28538.34,conventional,2016
13,1.15,6075588.68,2357903.8,1924933.51,117423.95,1675327.42,1583961.67,53653.13,37712.62,conventional,2016
14,1.22,5471565.28,1888694.03,1934688.42,112714.97,1535467.86,1434869.76,59481.09,41117.01,conventional,2016
15,1.12,6059764.51,2297601.9,1976499.46,114241.36,1671421.79,1576949.54,66072.42,28399.83,conventional,2016
